text,label
My favorite place,positive
The First Day Of Spring 2023,neutral
selfie movie akshay kumar bollywood movie,neutral
Marathon des Sables 2023: 37th Annual Race to Start on April 21,neutral
The Blood River,neutral
How do I love myself?,neutral
Discover How Britain's Millennials Are Being Left Behind in the UK Economy!,negative
"What First, Business, And Premium Economy Classes Are Like On Singapore Airlines | Insider Business",neutral
Uncovering the Richest of the Rich in History: PART 1,neutral
The Frantic Closing Moments Of Silicon Valley's Bank,neutral
